Title,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
"Love, Lies (2016)",South Korea,"The story takes place in 1943, during the Imperial Japanese occupation of Korea. In the film, best friends Jung So Yul and Seo Yeon Hee are two of the last remaining Gisaeng. Although they enjoy pop music, they are committed to singing Jeongga, or classical Korean songs. So Yul's life falls apart when her lover, pop music producer Kim Yoon Woo, falls in love with Yeon Hee and helps her debut as a pop singer. The story follows So Yul's downward spiral as she is consumed by uncontrollable jealousy.

",Park Heung Shik,"Han Hyo Joo, Role: Jeong So Yool
Yoo Yeon Seok, Role: Kim Yoon Woo
Chun Woo Hee, Role: Seo Yun Hee
Park Sung Woong, Role: Hirata Kiyoshi [Police affairs director]
Jang Young Nam, Role: San Wol
Ryu Hye Young, Role: Kim Ok Hyang","Music
 Historical
 Romance
 Drama",8.1,2090,https://mydramalist.com//15552-love-lies
Marry My Dead Body (2022),Taiwan,"A traditional same sex marriage between a human and a ghost. 
One day a police officer finds a red wedding envelope, only to find out that the owner of the red envelope is in fact a ghost from the other side asking for the officer's hand in marriage before reincarnation. What will happen when a human and a ghost form a special bond?

",Action,"Austin Lin, Role: Mao Bang Yu / Mao Mao
Greg Hsu, Role: Wu Ming Han
Gingle Wang, Role: Lin Zi Qing
Tsai Chen Nan, Role: Lin Xiao Yuan
Wang Man Chiao, Role: Mao Chen A Lan
Tuo Chung Hua, Role: Mao Zheng Guo","Action
 Mystery
 Comedy
 Supernatural",8.0,5644,https://mydramalist.com//716863-the-ghost-and-i-becoming-family
Two Weddings and a Funeral (2012),South Korea,"A gay man, Min Soo and a lesbian, Hyo Jin are both promising doctors at a general hospital. The colleagues agree to marry so Hyo Jin can legally adopt a child with her lover of ten years Seo Yeong, and Min Soo can please his parents while maintaining his closeted lifestyle. While secretly living with their respective partners, who move in next door, Min Soo and Hyo Jin appear to be a happy, ""normal"" couple. They enjoy all the benefits afforded to heterosexual couples and are also able to ward off public scrutiny and parental disapproval. However, Min Soo's intrusive parents begin to get a bit too involved with the couple's life, threatening their scheme. Edit Translation English Español Türkçe magyar / magyar nyelv",Park Hae Young,"Kim Dong Yoon, Role: Min Soo
Song Yong Jin, Role: Lee Seok
Ryu Hyun Kyung, Role: Hyo Jin
Jung Ae Yun, Role: Seo Young
Park Jung Pyo, Role: Tina
Jang Se Hyun, Role: Ik Hoon","Comedy
 Romance",7.4,3312,https://mydramalist.com//4515-two-weddings-and-a-funeral
Steel Cold Winter (2013),South Korea,"Set within a village on the Gangwon-do Mountain, Hae Won has lived alone with her mentally ill father since she was 10 years old. Her mother left them at that time. Hae Won has a secret. Yoon Soo blames himself for his friend's suicide. His parents decide to send him to a small and peaceful school located in Gangwon-do. At his new school, he meets Hae Won, who seems to have a strange mood. Yoon Soo falls in love with her. Edit Translation English Español magyar / magyar nyelv dansk",Thriller,"Kim Yoon Hye, Role: Hae Won
Kim Shi Hoo, Role: Yoon Soo
Oh Hee Joon, Role: Hyung Joon
Lee Tae Hee, Role: Yeong Joon
Seo Hyun Woo, Role: [Math teacher]
Park Jin Woo, Role: [Detective]","Thriller
 Mystery
 Romance
 Drama",7.3,1173,https://mydramalist.com//8155-steel-cold-winter
The White Haired Witch of Lunar Kingdom (2014),China,"It revolves around a pair of star-crossed lovers - a devilish outlaw, The White-Haired Witch, and the righteous Taoist leader, Zhuo Yi Hang and their love that could change the fate of the nation.

~~ Adapted from the novel series “Baifa Monv Zhuan” (白髮魔女傳) by Liang Yu Sheng (梁羽生). Edit Translation English magyar / magyar nyelv dansk Norsk",Jacob Cheung,"Huang Xiao Ming, Role: Zhuo Yi Hang
Fan Bing Bing, Role: White Haired Witch / Lian Nishang
Wang Xue Bing, Role: Mu Rong Chong
Ruby Lin, Role: Support Role
Yan Yi Kuan, Role: Huang Tai Ji
Vincent Zhao, Role: Jin Du Yi","Romance
 Wuxia
 Fantasy",7.1,954,https://mydramalist.com//6644-the-white-haired-witch-of-lunar-kingdom
Remember (2022),South Korea,"A man in his 80s lost everything, because of someone during the Japanese occupation of Korea era. The old man decides to take revenge on the person who caused his pain. A younger man helps the old man in his plan. 

",Action,"Lee Sung Min, Role: Pil Joo
Nam Joo Hyuk, Role: In Gyu
Ha Young Jin, Role: [Bodyguard]
Kim Woo Jin, Role: Hisashi [Young]
Park Min I, Role: Support Role
Jung Man Shik, Role: Kang Young Shik","Action
 Thriller
 Historical",8.1,759,https://mydramalist.com//41073-remember
A Stray Goat (2017),South Korea,"Set in an old village located in the Southern Gyeongsang Province, the southeastern region of Korea, Nunbal tells the story of two small-town middle school students, a boy who transfers to a new school and his classmate, a girl who is bullied. The film will focus on the boy's relationship with the girl from the same class, and is a heart wrenching story that will tackle the topic of school violence. Edit Translation English magyar / magyar nyelv dansk Norsk",Psychological,"Park Jin Young, Role: Cho Min Shik
Ji Woo, Role: Yang Ye Ju
Jang Hee Ryung, Role: Soo Jung
Jang Myung Gap, Role: Yang Sang Man
Shin An Jin, Role: Hyun Oh
Jung Na On, Role: Mi Hee","Psychological
 Romance
 Youth
 Melodrama",7.2,1365,https://mydramalist.com//16277-a-stray-goat
The Priests (2015),South Korea,"A young girl who belongs to Father Kim’s parish becomes comatose after a hit-and-run accident. Father Kim and a rebellious young seminarian named Choi believe that she is possessed by an evil spirit. When they try to free her from the demon’s powerful hold, they realize that this nameless evil is far more dangerous than they ever thought.

",Jang Jae Hyun,"Kim Yoon Seok, Role: Father Kim
Kang Dong Won, Role: Deacon Choi Joon Ho
Park So Dam, Role: Young Shin
Kim Eui Sung, Role: [Dean Priest]
Son Jong Hak, Role: [Monsignor]
Lee Ho Jae, Role: Father Jung ","Thriller
 Horror
 Supernatural",7.6,1372,https://mydramalist.com//14788-the-priests
Daisy (2006),South Korea,"A story about the inevitable showdown between a detective and a killer who fall in love with the same woman. In the story features a street artist who dreams of opening her own exhibition someday, while there is a killer who loves her but cannot confess his love to her because of his profession. Edit Translation English Español Türkçe magyar / magyar nyelv",Andrew Lau,"Jung Woo Sung, Role: Park Yi
Jun Ji Hyun, Role: Hye Yeong
Lee Sung Jae, Role: Jeong Woo
Chun Ho Jin, Role: Detective Jang
Dion  Lam, Role: Yoon Joon Ha
David Chiang, Role: President Cho","Action
 Romance
 Crime
 Drama",7.9,2587,https://mydramalist.com//598-daisy
Seondal: The Man Who Sells the River (2016),South Korea,"A movie from the ancient novel of satire and humor about Kim Seon Dal who sold off the River Daedong. Kim Seon Dal is a genius swindler, possessing an alluring appearance and boldness. He works with Bo Won, Female Buddhist Yoon, and Gyeon. The swindler team is famous nationwide. The team decides to steal tobacco which is the most expensive traded product. For their plan, they have to deceive the most powerful man Sung Dae Ryeon.

",Adventure,"Yoo Seung Ho, Role: Kim Seon Dal
Jo Jae Hyun, Role: Sung Dae Ryeon
Ko Chang Seok, Role: Bo Won
Ra Mi Ran, Role: Female Buddhist Yoon
Xiumin, Role: Gyun
Jun Suk Ho, Role: Lee Wan","Adventure
 Historical
 Comedy
 Crime",8.2,3420,https://mydramalist.com//14490-seondal-the-man-who-sells-the-river
Bandage (2010),Japan,"Set in Japan in the 1990s, there's one rising band called LANDS, that is starting to find success amidst a flood of other bands.
Asako and Miharu are two Tokyo high school students. When Miharu gives Asako her favorite indie rock band; a LANDS CD, she becomes an overnight fan and sets her heart on the talented guitarist Yukiya.
When they go to see them in concert, they sneak their way into the backstage area and Asako gets acquainted with some of the band's members. Natsu, the vocalist, is immediately attracted to Asako and begins bringing her along to the band's practice sessions. Though Asako enjoys it, she proves to be a distraction to the other band members and is soon ejected from the session by Yukari, their manager. But Natsu is determined to keep her around, pulling strings to make Yukari and Asako to become friends, and eventually, helping Asako to become LANDS co-manager.
LANDS was formed among friends, but as the band begins to climb the ladder towards major stardom, they get in touch with the dark side of the music industry, discord surfaces, inevitable frictions emerge, and unrequited love strains their friendship, threatening to pull their bonds apart. Edit Translation English 中文(简体) Русский Português (Brasil)",Kobayashi Takeshi,"Akanishi Jin, Role: Takasugi Natsu
Kitano Kie, Role: Asako Suzuki
Saito Yuki, Role: Yayoi [Asako's Mother]
Shibamoto Yuki, Role: Arumi
Kaneko Nobuaki, Role: Ryuji
Ito Ayumi, Role: Isukari Nobuko","Music
 Romance
 Life",7.3,2323,https://mydramalist.com//112-bandage
The Long Way Home (2015),South Korea,"Set during the Korean War and 3 days before a truce takes place. Nam Bok is a South Korean soldier who was a simple farmer before his conscription into the military. He receives an order to deliver a top-secret document at a set time and place, but an attack by the North Korean army causes him to lose the document.
Meanwhile, Young Gwang is a North Korean soldier, part of a tank crew. While heading to the South, his team is bombed and he is the only one left. He is about to return home, but he happens to come across a top-secret document. The two men face off in the western front alone. Edit Translation English magyar / magyar nyelv dansk Norsk",Historical,"Sol Kyung Gu, Role: Nam Bok
Yeo Jin Goo, Role: Young Gwang
Lee Kyung Young, Role: Yoo Joong Ryung
Jung In Ki, Role: Master sergeant Kim
Kim Won Hae, Role: [Tank commander]
Jung Sung Hwa, Role: [Regimental commander]","Historical
 Comedy
 Drama
 War",8.1,747,https://mydramalist.com//11108-the-long-way-home
Boy Meets Boy (2008),South Korea,"On a warm spring day Min-soo, a small boy, meets tall and broad-shouldered Seok-yi inside a bus. Min-soo keeps looking at the intimidating boy whose sharp eyes are hidden under his baseball cap. Min-soo's heart starts beating. What will happen to Min-soo and Seok-i ? Edit Translation English magyar / magyar nyelv dansk Norsk",Min Yong Keun,"Kim Hye Sung, Role: Min Soo
Lee Hyun Jin, Role: Seok Yi
Ye Ji Won, Role: Cupid
Ahn Sung Gun, Role: [Bully]","Music
 Romance
 Youth",6.4,2245,https://mydramalist.com//1417-boy-meets-boy
Painted Skin: The Guo Jingming Edition (2020),China,"A different rendition to the original story with role-reverse and different story direction.

Xiao Wei is a fox demon who feasts on human hearts in order to maintain his clean, youthful appearance. When General Pei Rong rescues him from the remains of a battlefield and offers him a home, trouble begins. The hearts of Pei Rong and her husband, Wang Sheng, are Xiao Wei's biggest desire - however, both are desired for very different reasons.

~~ Guo Jing Ming’s short film for «Everybody Stand By» contest. 
~~ Adapted from the story “Painted Skin” (画皮) of the collection “Strange Tales from a Chinese Studio” (聊斋志异) by Pu Song Ling (蒲松齡). Edit Translation English Ελληνικά Türkçe magyar / magyar nyelv",Edward Guo,"He Chang Xi, Role: Wang Sheng
Ding Cheng Xin, Role: Xiao Wei
Wang Chu Ran, Role: Pei Rong
Omid, Role: Xiao Yi","Thriller
 Wuxia
 Fantasy",8.2,1238,https://mydramalist.com//680897-painted-skin
Josee (2020),South Korea,"A small city on the outskirts of Seoul. Young Seok, a university student nearing graduation, comes across a woman in the street who has fallen from her wheelchair and helps her back home. She ends up feeding him a simple meal, and he develops a vague curiosity for this woman who introduces herself as ""Josée"". From this time on, Young Seok occasionally stops by Josée's house, receiving free meals and getting to know this woman who reads a lot, has a comprehensive knowledge of whiskey and tells him stories which he's not sure are true. Gradually, they come to share an unforgettable love.

",Kim Jong Kwan,"Han Ji Min, Role: Josee
Nam Joo Hyuk, Role: Lee Young Seok
Heo Jin, Role: Park Da Bok
Park Ye Jin, Role: Hye Seon
Jo Bok Rae, Role: Chul Ho
Lee So Hee, Role: Soo Kyung","Romance
 Life
 Drama",7.6,2360,https://mydramalist.com//34055-josee
BLACKPINK: Light Up the Sky (2020),South Korea,"BLACKPINK: Light Up the Sky — an all-access documentary about one of the world's most popular groups. This documentary contains 4 years of breathless running since BLACKPINK debuted in 2016. From the days of trainees to the day when they grew up as a global star, there were various videos that have not been released as well as the life of the hostel and the story behind the stage.

",Music,"Kim Jennie, Role: [Herself]
Rosé, Role: [Herself]
Kim Ji Soo, Role: [Herself]
Lisa, Role: [Herself]
Teddy Park, Role: [Himself]","Music
 Documentary",8.6,4588,https://mydramalist.com//70093-blackpink-light-up-the-sky
Triple - Do You Want? (2020),South Korea,"The story of three couples; lesbian, straight, and gay. They're all stuck in the rain and decide to kiss. Edit Translation English magyar / magyar nyelv עברית / עִבְרִית dansk",Short Film,"Yoo Kyung Seon, Role: Ji Min
Kim Jae Ho, Role: Ji Min 
Go Hyoung Woo, Role: Soo Hyun","Romance
 Youth
 Drama",6.9,983,https://mydramalist.com//685325-triple-do-you-want
The Mermaid (2016),China,"Xuan, a business tycoon, falls in love with the beautiful mermaid sent to kill him after his latest project kills many of her people. Edit Translation English magyar / magyar nyelv dansk Norsk",Stephen Chow,"Deng Chao, Role: Liu Xuan
Show Lo, Role: Ba Ge / ""Octopus""
Zhang Yu Qi, Role: Ruo Lan
Jelly Lin, Role: Shan Shan
Lu Zheng Yu, Role: Mr. Liao [Liu Xuan's assistant]
Tsui Hark, Role: Si Ye / Ke Xu [Ruo Lan's father]","Action
 Comedy
 Romance
 Fantasy",7.0,2180,https://mydramalist.com//15369-mermaid
Virgin Snow (2007),Japan,"Min moves to Japan following his professor father. One day at a local shrine, he meets a beautiful, long-haired Japanese girl with innocent eyes. Her name is Nanae, and she is an aspiring painter. Min falls for her at first sight. He longs for her but soon learns that Nanae attends the same school to which Min has just transferred.

Min befriends Nanae, and despite the cultural and language barriers, they become fast friends, taking in the famous sites of Kyoto. Their feelings for each other grow, and on a visit to a ceramic store, Nanae promises someday to paint Min's portrait on the pottery that is made by him. Min continues to learn the craft from his father, and he comes to realize that he has to put all of his heart, the kind of love he feels for Nanae, into making the pottery for it not to crack.

Because of his grandmother's sudden illness, Min has to return to Korea to be with her. He cannot get in touch with Nanae, and he becomes anxious. After his grandmother regains her health, he hurries back to Japan to look for Nanae, but she is nowhere to be found. Have his true feelings for Nanae not reached her? Why has Nanae disappeared without a word?

",Ban Kazuhiko,"Lee Joon Gi, Role: Min Kim
Miyazaki Aoi, Role: Nanae Sasaki
Yo Kimiko, Role: Sasaki Mayumi
Shioya Shun, Role: Kojima Koji
Morita Ayaka, Role: Atsusa Kaori
Matsuo Satoru, Role: [Monk]","Romance
 Youth
 Drama",7.4,3130,https://mydramalist.com//181-virgin-snow
Love Fiction (2012),South Korea,"A timid writer meets an attractive woman and falls in love at first sight.
Ku Joo Wol found success after publishing his first novel. But since then, he has been in a slump. Because of his timid nature, he is always dumped by women.
Hee Jin works for a movie importing company. She is also an amateur photographer. Although she has a bright personality, she also carries a psychological scar about her mother. Edit Translation English Español magyar / magyar nyelv dansk",Comedy,"Ha Jung Woo, Role: Ku Joo Wol / Detective Ma Dong Wook
Gong Hyo Jin, Role: Lee Hee Jin / Kim Hae Young
Ji Jin Hee, Role: Joo Ro
Park Young Soo, Role: Young Shik / Director Jo
Lee Joon Hyuk, Role: Professor Jung
Choi Won Tae, Role: Baek Son Il","Comedy
 Romance
 Melodrama",6.8,693,https://mydramalist.com//2152-love-fiction
The Gifted (2015),Thailand,"The Gifted reflects on the problems of today's Thai education system, which focuses on students' grades. It is now an Indicator of the academic excellence of students that separated them into groups or judged them as the losers as they have a bad grade, even though they have good skills in other things besides academic knowledge.

""The Gifted class"" is for students who have special talents and superpowers, including Wave (in Mathematics), Mon (in Martial Arts), Tui (in Science) and Pang, who was in the regular class but luckily passed the test as a talented student in Languages, and ""the regular classes"" are for students who don't know their talent or has useless power.

While Pang is entering the class as a new student and is confused about not knowing anything, the Gifted class are planning to expose the school principal ""Kasemsan Sodsai"" who is likely to corrupt the school system with the help of his secretary and to encounter the student council that is led by Ying who don't like them and always keep an eye on them.

Will their mission succeed? Will Pang know what his superpower is? Will the education system be better? Edit Translation English Español magyar / magyar nyelv dansk",Sand Dhammarong Sermrittirong,"Got Pradanai Nateprasertkul, Role: Pang
Up Poompat Iam-samang, Role: Wave
Sand Dhammarong Sermrittirong, Role: [Student in the toilet]","Action
 Comedy
 Youth
 Supernatural",7.6,601,https://mydramalist.com//29842-the-gifted
Akai Ito (2008),Japan,"Mei's lifelong love for Yuya takes an unexpected turn when he confesses his feelings for her older sister, Haruna, in middle school. Trying to move on, Mei finds solace in her close-knit group of friends and befriends Atsushi, a gentle boy with a striking connection to her. However, dark secrets from their pasts force Atsushi to distance himself, triggering a series of tragic events for Mei, including loss, addiction, and abuse. Amidst life's trials, she clings to the hope that destiny will eventually reunite her with her true love.

",Watanabe Chiho,"Minamisawa Nao, Role: Takemiya Mei
Mizobata Junpei, Role: Nishino Atsushi
Kimura Ryo, Role: Takahashi Riku
Okamoto Rei, Role: Yamagishi Mia
Iwata Sayuri, Role: Takemiya Haruna
Komoto Masahiro, Role: Takemiya Toshihisa","Romance
 Youth
 Drama
 Melodrama",7.2,926,https://mydramalist.com//219-akai-ito
Fujimi Orchestra (2012),Japan,"Tonoin Kei, a musical genius who has studied extensively in the area of conducting, falls in love with a violinist, Morimura Yuuki. Morimura acts as the concertmaster for a small amateur orchestra that meets three times a week at the Fujimi Civic Center. Morimura is in love with Kawashima Natsuko, a female flutist in the orchestra, but Kawashima falls for Tonoin when he joins to act as the group's new conductor in order to get closer to Morimura.

~~ Adapted from a novel series. Edit Translation English magyar / magyar nyelv dansk Norsk",Music,"Takasaki Shota, Role: Morimura Yuuki
Arai Yusuke, Role: Tonoin Kei [Orchestra conductor]
Iwata Sayuri, Role: Kawashima Natsuko
Kinoshita Houka, Role: Ichiyama Kazuo
Miyakawa Ichirota, Role: Omori Hajime
Tokui Yu, Role: Ishida Kunimitsu","Music
 Romance",5.8,1360,https://mydramalist.com//5469-fujimi-orchestra
Daily Lives of High School Boys (2013),Japan,"The story revolves around a school festival being organized in a collaboration between Tadakuni’s all-boys school and a nearby all-girls school. Like in the original manga, the boys are clueless about how to deal with girls and wind up putting their stupidity on display in various humorous ways. Edit Translation English magyar / magyar nyelv dansk Norsk",Komine Hiroyuki,"Suda Masaki, Role: Tadakuni
Nomura Shuhei, Role: Tanaka Yoshitake
Yoshizawa Ryo, Role: Tabata Hidenori
Okamoto Anri, Role: Ringo
Yamamoto Mizuki, Role: Yanagin
Kurihara Louis, Role: Hosono","Comedy
 Youth",6.7,679,https://mydramalist.com//6847-daily-lives-of-high-school-boys
Dear Ex (2018),Taiwan,"When the husband dies, wife and son discover that he made his life insurance policy out to his male lover. The woman reacts with anger and the son with confusion. Gradually, they begin to close in on the man, discovering the life the woman's husband had hidden from them.

",Lu Shih Yuan,"Roy Chiu, Role: Jay
Hsieh Ying Shiuan, Role: Liu San Lian
Joseph Huang, Role: Song Cheng Xi 
Spark Chen, Role: Song Zheng Yuan
Chou Min Fu, Role: Support Role
Kao Ai Lun, Role: [Jay's mother]","Romance
 Drama",7.9,3272,https://mydramalist.com//28851-dear-ex
Fly High (2009),South Korea,"Shi Bum has a dream of being an actor. One day, he meets a girl Soo Kyung and falls in love with her at first sight. With Shi Bum together, Soo Kyung seems to get over her pain and also the uncomfortable relationship with her father. But suddenly Soo Kyung disappears to confront her mother's death. 
After receiving contact, Shi Bum meets up with Soo Kyung at the sea and both escape their realities. Soo Kyung becomes severely injured in an accident, and in desperately struggling to save her, Shi Bum steals money to pay her hospital bills. However, he had stolen from a gang who catches and forces him to work as a male escort. 
Now Shi Bum uses his acting skill to relieve Soo Kyung and pretends he makes a living from acting. As his popularity rises as an escort, he follows Ho Soo, his boss and mentor, to make more money in Seoul. While working, he comes across one of his old friends and gets involved in a big fight.

",Love At First Sight,"Kim Bum, Role: Shi Bum
Song  Ha Yoon, Role: Su Kyo Ung
Park Min Young, Role: Soo Ah's Friend
Jo Won Hee, Role: Soo-Kyoung's Father 
Bae Soo Bin, Role: Ho Su
Kim Jin Woo, Role: Yeong Ho","Romance
 Crime
 Life
 Drama",6.4,774,https://mydramalist.com//1503-fly-high-2009
A Christmas Carol (2022),South Korea,"'A Christmas Carol' is a story about a twin brother who goes to a juvenile detention center on his own to avenge the death of his twin brother.

~~ Adapted from the novel of the same name by Joo Won Gyu. Edit Translation English ภาษาไทย Português (Brasil) magyar / magyar nyelv",Action,"Park Jin Young, Role: Joo Il Woo | Joo Wol Woo
Kim Young Min, Role: Cho Soon Woo
Kim Dong Hwi, Role: Son Hwan
Heo Dong Won, Role: Han Hee Sang
Song Geon Hee, Role: Moon Ja Hoon
Kim Jung Jin, Role: Baek Young Joong","Action
 Thriller
 Psychological",8.1,1516,https://mydramalist.com//712969-a-christmas-carol
Sweet Sixteen (2016),China,"28-year-old Shu Ya Wang is a landscape designer who was born into a military family. When she was 16 years old, her father had her take care of 10-year-old Xia Mu. Xia Mu had witnessed death at a young age, thus becoming estranged from the world, but Shu Ya Wang’s warmth slowly melted his heart. Shu Ya Wang’s childhood friend and lover, Tang Xiao Tian, enlisted in the army after high school graduation and met Qu Wei Ran there. After the encounter between Qu Wei Ran and Shu Ya Wang, their lives will never be the same.

~~ Adapted from the web novel ""Xia You Qiao Mu Ya Wang Tian Tang"" by Yue Zi. Edit Translation English Polski Português (Brasil) Español",Sexual Harassment,"Lu Shan, Role: Shu Ya Wang
Kris Wu, Role: Xia Mu
Han Geng, Role: Tang Xiao Tian
Joo Won, Role: Qu Wei Ran
Zhang Yao, Role: Xiao Xue
Bao Bei Er, Role: Zhang Jing Yu ","Romance
 Drama
 Melodrama",7.4,1199,https://mydramalist.com//11035-sweet-sixteen
Double Patty (2021),South Korea,"Kang Woo Ram is busy preparing to get a job. Lee Hyun Ji is a would-be anchor, but she works at a homemade hamburger restaurant. One night, Woo Ram visits the hamburger restaurant and orders a double patty hamburger, which has a ""buy one, get one free"" sale. This is how their relationship begins.

",Life,"Irene, Role: Lee Hyun Ji
Shin Seung Ho, Role: Kang Woo Ram
Son Ji Yoon, Role: Seon Ji Young
Song Ji In, Role: Choi Se Yeong
Yoo Byung Hoon, Role: Director Go
Kim Chan Yi, Role: [Hyun Ji's father]","Life
 Youth
 Drama",7.2,1392,https://mydramalist.com//64463-double-patty
Memoirs of a Teenage Amnesiac (2010),Japan,"Naomi is an ordinary high school student who goes to an international school. One day, she loses her memory for the past 4 years. But gradually she begins to search for her identity, and even when her memory returns, she keeps on looking for her real self, and what she truly loves in life. Edit Translation English Русский magyar / magyar nyelv dansk",Romance,"Horikita Maki, Role: Sukuse Naomi
Matsuyama Kenichi, Role: Miwa Yuji
Tegoshi Yuya, Role: Mirai Hasegawa
Anton Yelchin, Role: Ace Zuckerman
Watabe Atsuro, Role: Sukuse Goro
Kiritani Mirei, Role: Yumi","Romance
 Youth",6.8,1683,https://mydramalist.com//208-memoirs-of-a-teenage-amnesiac
New Police Story (2004),Hong Kong,"Welcome to the next generation of POLICE STORY! The once famous but now disgraced Inspector Chan and his new rookie partner, Frank, are headed towards an action-packed showdown with a sadistic punk gang. It's a new breed of criminal for sure, but never count out an old pro when it comes to solving the twists and using his fists! Edit Translation English magyar / magyar nyelv dansk Norsk",Benny Chan,"Jackie Chan, Role: Chan Kwok Wing
Nicholas Tse, Role: Frank Cheng Siu Fung
Charlene Choi, Role: Sa Sa
Daniel Wu, Role: Joe Kwan
Charlie Yeung, Role: Sun He Yi
Philip Ng, Role:  Philip [Wing's team member]","Action
 Thriller
 Law",8.0,1353,https://mydramalist.com//1614-new-police-story
Ditto (2022),South Korea,"In 1999, Yong studies mechanical engineering at a university. He first entered the school in 1995, but took time off to perform his mandatory military service. After finishing his military service, he came back to school as a student. His first love is Han Sol.

Yong then somehow communicates with Mu Nee. Mu Nee lives in the present day. She enrolled at her university in 2021 and majors in sociology. Yong and Mu Nee, who are from different time periods, communicate and their story unfolds.

",Seo Eun Young,"Yeo Jin Goo, Role: Kim Yong
Cho Yi Hyun, Role: Kim Mu Nee
Kim Hye Yoon, Role: Seo Han Sol 
Na In Woo, Role: Oh Young Ji
Bae In Hyuk, Role: Kim Eun Sung
Noh Jae Won, Role: Joo Geun Tae","Romance
 Drama
 Fantasy
 Melodrama",8.0,3413,https://mydramalist.com//725571-similar
Phantom Detective (2016),South Korea,"Hong Gil Dong possesses an extraordinary memory and also has a unique personality. He works as a private detective with a 100% success rate. While tracking down the only person he has difficulties in finding, Hong Gil Dong becomes involved in a major case.

",Action,"Lee Je Hoon, Role: Hong Gil Dong
Kim Ha Na, Role: Kim Mal Soon
Kim Sung Kyun, Role: Kang Sung Il
Park Geun Hyung, Role: Kim Byeong Duk
Roh Jeong Eui, Role: Kim Dong Yi
Go Ah Ra, Role: President Hwang","Action
 Thriller
 Mystery",7.9,1725,https://mydramalist.com//10839-phantom-detective
Our 30 Minute Sessions (2020),Japan,"Aki Miyata was a musician and died 1 year ago. He had a bright and positive personality. Sota Kubota is a university student. He is not good at socializing with people. One day, Sota Kubota picks up a cassette tape, which was left by Aki Miyata. If Sota Kubota plays the cassette tape, Aki Miyata’s spirit takes over Sota Kubota's body for only 30 minutes. With Aki Miyata's spirit in his body, Sota Kubota goes to see Aki's former girlfriend Kana Murase and his other bandmates.

",Hagiwara Kentaro,"Kitamura Takumi, Role: Kubota Sota
Mackenyu, Role: Miyata Aki
Kubota Sayu, Role: Murase Kana
Hayama Shono, Role: Yamashina Kenta
Uesugi Shuhei, Role: Shigeta Koki
Kiyohara Sho, Role: Mori Ryosuke","Music
 Life
 Youth
 Supernatural",8.0,853,https://mydramalist.com//39097-sayonara-made-no-30-bu
Character (2021),Japan,"Follows an aspiring manga artist named Keigo Yamashiro who dreams of making it big. Yamashiro is extremely talented, but what holds him back is his inability to create any villains due to his overtly cheerful personality. Due to this, he is currently stuck in the position of being an assistant to a manga writer.

One day Yamashiro receives an assignment from his boss to visit a home and sketch the family living there. When Yamashiro arrives at the house he finds all four family members dead, and a mysterious man. Startled by the incident, the unknown man makes his escape and Yamashiro calls the cops.

When questioned by police Yamashiro lies and says that he did not see the murderer, he does however use the murderer as a villain for his own manga titled “34”. The manga series becomes a surprise hit and Yamashiro quickly becomes a top star in the manga world. However, murders extremely similar to incidents in the “34” manga begin to happen in real life, and Yamashiro is soon confronted by the mysterious murderer.

",Thriller,"Suda Masaki, Role: Yamashiro Keigo
Fukase Satoshi, Role: Morozumi Shuichi
Takahata Mitsuki, Role: Kawase Natsumi
Nakamura Shido II, Role: Makabe Kota
Oguri Shun, Role: Seida Shunsuke
Nakao Akiyoshi, Role: Omura Makoto","Thriller
 Mystery
 Drama",8.2,1761,https://mydramalist.com//682935-character
The King (2017),South Korea,"Born in a poor family, Park Tae Soo learns that power is the most important thing in life and decides to become a prosecutor, the biggest symbol of power in the ’90s. After entering the most prestigious law school, experiencing democratic resistance in Korea, Tae Soo finally reaches his goal of becoming a prosecutor but his life is no better than a salaryman. By chance, he joins a clique of powerful prosecutors with wealth and authority. He finally gets a taste of a life of the top hierarchy, but as he enjoys the sweetness of supremacy, he also sees the cruel side of it.

",Thriller,"Zo In Sung, Role: Park Tae Soo
Jung Woo Sung, Role: Han Kang Shik
Bae Sung Woo, Role: Yang Dong Chul
Ryu Joon Yeol, Role: Choi Doo Il
Kim Ah Joong, Role: Im Sang Hee
Lee  Joo Yeon, Role: Cha Mi Ryun","Thriller
 Crime
 Drama
 Political",7.9,1660,https://mydramalist.com//14398-the-king
Boys Love (2006),Japan,"Mamiya Taishin is assigned to write an article about the new top model, Kisaragi Noeru. They meet up and everything goes smoothly until Noeru decides to hit on Taishin, something that Taishin didn't expect would happen.

",Terauchi Kotaro,"Saitoh Takumi, Role: Kisaragi Noeru
Kotani Yoshikazu, Role: Mamiya Taishin
Matsumoto Hiroya, Role: Furumura Chidori","Romance
 Life
 Youth
 Drama",6.3,3304,https://mydramalist.com//1416-boys-love
