Title,Year,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
IN-SEOUL (2019),2019,South Korea,"It is a growth drama that talks about the love-hate relationship between a mother and her high school daughter (in her last year), who are living just the two of them.

The story is about the mother who constantly attacks her daughter about the fact that she has no sense of reality and her daughter who dreams of entering a university in Seoul to gain independence from such a mother.

",Jung Soo Yoon,"Min Do Hee, Role: Kang Da Mi
Jang Young Nam, Role: Song Young Ju
Ryeoun, Role: Yoon Sung Hyun
Jin Ye Ju, Role: Lee Ha Rim
Jung Eun Pyo, Role: Seo Ho Pil [High school teacher]
Jeong Seon Yul, Role: Song Hee","Youth
 Drama",7.6,1158,https://mydramalist.com/39199-in-seoul
Line Walker (2014),2014,Hong Kong,"Hong Kong's Criminal Intelligence Bureau Chief Inspector, Cheuk Hoi, probes his colleague's mysterious death and the disappearance of five crucial undercover agents. These agents hold vital secrets, compelling Cheuk Hoi to uncover the truth. Among the undercover agents, Ting Siu Ka seeks her true identity by infiltrating the triads, forming a complex relationship with Sit Ka Keung. However, complications arise when Cheuk Hoi abruptly halts her mission, involving the Independent Commission Against Corruption's Mok Sin Yan. As the triad leader Tam Foon Hei is released, Lin Ho Kan's tactics intensify the police-triad showdown for justice.

",Jazz Boon,"Michael Miu, Role: Cheuk Hoi
Charmaine Sheh, Role: Ding Siu Ka
Raymond Lam, Role: Sit Ka Keung
Sharon Chan, Role: Mok Sin Yan
Sammy Sum, Role: Lin Hon Kan
Elena Kong, Role: Mok Sin Qing","Action
 Thriller
 Romance
 Crime",8.2,825,https://mydramalist.com/9710-line-walker
Want More 19 (2018),2018,South Korea,"A story of 5 friends in high school. A mutual crush, a one-sided love, and a rough patch for sweethearts. All of this happens as exams come up, will they be able to confess their love? ",Comedy,"Shin Gi Hwan, Role: Kim Yoona
Jung Ha Joon, Role: Kang Eungu
Nam Yoon Su, Role: Lee Gyeom
Jeon Yu Lim, Role: Seo Seol Ah
Lee Jung Ha, Role: Ma Tae Hee","Comedy
 Romance
 Drama",7.6,1485,https://mydramalist.com/31577-stop-me-and-i-won-t-stop-19
Pin to Kona (2013),2013,Japan,"Kawamura Kyonosuke  is the successor to the prestigious Kishima family in the Kabuki world and has been brought up & trained in the art of Kabuki all his life. However, he no longer has any passion for it and has been turning in lacklustre performances despite his father's disapproval. 

Chiba Ayame is a poor high-school girl who loves Kabuki. After watching one of Kawamura's bland performances, she confronts him about it after the show and berates him for not taking Kabuki seriously and wasting her money. Also, as chance would have it, they later discover that the both of them also attend the same high-school. 

Chiba Ayame's passion & love for Kabuki touches Kawamura and, not only did he fall in love with her, she also inspired Kawamura to see his craft in a new light and he starts to take his Kabuki lessons & performances seriously in an attempt to win her heart. However, Ayame already has a childhood sweetheart and he happens to also be an aspiring Kabuki actor and Kawamura's rival. 

In a situation where the stakes are either a place in the Kabuki world or in Chiba Ayame's heart, who will prevail and will obtaining one mean giving up the other? 

",Romance,"Tamamori Yuta, Role: Kyonosuke Kawamura
Nakayama Yuma, Role: Ichiya Sawayama/Hiroki Hongo
Kawashima Umika, Role: Ayame Chiba
Kishitani Goro, Role: Kawamura Sezaemon
Yoshikura Aoi, Role: Sawayama Yuuna
Shimizu Yutaka, Role: Yasu","Romance
 Youth",7.6,1019,https://mydramalist.com/7144-pin-to-kona
Can Love Become Money (2012),2012,South Korea,A romantic drama about what happens when young and successful CEO Ma In Tak offers to pass on a 10 billion won inheritance to his future wife. ,Han Cheol Soo,"Uhm Ji Won, Role: Yoon Da Ran
Yeon Jung Hoon, Role: Ma In Tak
Wang Bit Na, Role: Hong Mi Mi
Jo Yeon Woo, Role: Kim Sun Woo
Wi Ji Woong, Role: [Arranged meeting man]
Hwang Bo, Role: Kwak Sung Ran","Business
 Comedy
 Romance",7.3,1319,https://mydramalist.com/3657-can-love-become-money
"Soshite, Ikiru (2019)",2019,Japan,"Ikuta Toko has been raised by her uncle in the city of Morioka. She's been active as a local idol with the hopes of eventually becoming an actress someday. When she's 19 years old, she's anxiously looking forward to go to Tokyo for a big audition. However, the day before the audition, Japan gets struck by the Great Tohoku Earthquake.

",Tsukikawa Sho,"Arimura Kasumi, Role: Ikuta Toko
Sakaguchi Kentaro, Role: Shimizu Kiyotaka
Kang Ji Young, Role: Han Yoo Ri
Okayama Amane, Role: Kubo Shinji
Hagiwara Masato, Role: Sakamoto Masayuki
Mitsuishi Ken, Role: Ikuta Kazutaka","Romance
 Life
 Drama",7.6,612,https://mydramalist.com/33874-and-live
Kou Kou Kyoushi 2003 (2003),2003,Japan,"Hina, a student at Nikko High School, goes out one evening with her classmate Beniko. They get split up and Hina ends up in a strange meeting with a man named Ikumi in a game arcade. The next day, Ikumi turns up as the new teacher at her school. Ikumi doesn't seem to recognize Hina but the wheels of fate are slowly moving to reunite them in what is a passionate story of forbidden love.
One of the main underlying themes of this drama is death. Another important theme is the struggle Hina and Ikumi have in trying to realize the difference between love and dependence... or is there a difference?
Not just a remake of the 1993 version; it takes place at the same school, but with different characters and situations. ",Nojima Shinji,"Fujiki Naohito, Role: Koga Ikumi
Ueto Aya, Role: Machida Hina
Narimiya Hiroki, Role: Kamiya Yuji
Ohkura Koji, Role: Muramotsu Tamotsu
Aoi Yu, Role: Ezawa Mami
Sonim, Role: Kudo Beniko","Romance
 Life
 Youth
 Drama",7.2,868,https://mydramalist.com/790-kou-kou-kyoushi-2003
"Okusama wa, Tori Atsukai Chui (2017)",2017,Japan,"Isayama Nami, in order to start over her life and to find happiness, married the man she fell in love with at first sight during a blind date and moved to a quiet high-end residential area. Nami isn't really good with domestic chores in general, including cooking or cleaning, but she has a very strong sense of justice and it would be very ill-advised to make her angry. She was born and raised without a single relative and had to experience a life without knowing what it means to love or be loved. By making friends with other housewives, who she occasionally saves from various predicaments, and by cuddling close to her husband, it's the first time for Nami to experience true kindness and warmth in her life. ",Kaneshiro Kazuki,"Ayase Haruka, Role: Isayama Nami
Hirosue Ryoko, Role: Ohara Yuri
Honda Tsubasa, Role: Sato Kyoko
Nishijima Hidetoshi, Role: Isayama Yuki
Ishiguro Ken, Role: Ohara Keisuke
Kawaguchi Waku, Role: Ohara Keigo","Action
 Comedy
 Drama
 Martial Arts",8.1,1315,https://mydramalist.com/24919-okusama-wa-tori-atsukai-chui
Leh Lub Salub Rarng (2017),2017,Thailand,"Meet Ramin, a high profile police officer from a special unit, he is an egocentric playboy who looks down on women; and Petra, an arrogant and ungrateful superstar who looks down on men and her co-workers. Sinfulness bring these two together to learn integrity, honesty and respect by swapping bodies. They face danger, difficulties and obstacles to gradually improve, share, care and find true love on this incredible journey. ",Krit Sukramongkol,"Yaya Urassaya Sperbund, Role: Petra Pawadee
Nadech Kugimiya, Role: Captain Ramin
Tor Thanapob Leeratanakachorn, Role: Arkom / ""Kom""
Ice Preechaya Pongthananikorn, Role: Nok Yoong
Peck Premanat Suwannannon, Role: Richard Adisorn
Kirk Schiller, Role: Seer","Action
 Comedy
 Romance
 Supernatural",7.7,1081,https://mydramalist.com/16229-leh-lub-salub-rarng
Terrace House: Opening New Doors (2017),2017,Japan,"A group of young people -- including a chef, a snowboarder, and an ice hockey player -- gather in Karuizawa woods while pursuing their dreams. 

",Romance,"YOU, Role: Main Host
Triendl Reina, Role: Main Host
Tokui Yoshimi, Role: Main Host
Babazono Azusa, Role: Main Host
Hayama Shono, Role: Main Host
Yamasato Ryota, Role: Main Host","Romance
 Life",7.9,1443,https://mydramalist.com/26695-terrace-house-opening-new-doors
Mr. Queen Special (2020),2020,South Korea,"A special episode with bloopers and behind the scenes moments.

",Documentary,"Shin Hye Sun, Role: Kim So Yong / Jang Bong Hwan
Kim Jung Hyun, Role: King Cheol Jong
Bae Jong Ok, Role: Queen Sun Won
Kim Tae Woo, Role: Kim Jwa Geun",Documentary,8.6,956,https://mydramalist.com/682549-mr-queen-special
Descendants of the Sun: Recap Special (2016),2016,South Korea,Special containing highlights and best scenes from the previous episodes. ,Action,"Song Hye Kyo, Role: Dr. Kang Mo Yeon
Song Joong Ki, Role: Yoo Shi Jin
Jin Goo, Role: Seo Dae Yeong
Kim Ji Won, Role: Yoon Myung Ju
Choi Woong, Role: Staff Sergeant Kong Chul Ho
Seo Jung Yeon, Role: Ha Ja Ae [ER nursing team]","Action
 Military
 Romance
 Medical",8.3,1368,https://mydramalist.com/18523-descendants-of-the-sun-recap-special
Toshi no Sakon (2020),2020,Japan,"24-year-old Murakami Maiko is a very sheltered girl who has never had a relationship with a guy. It is decided that she will go for a matchmaking session with someone recommended by her father Genichiro who owns a company. The man Hanasato Harumi is 20 years her senior and also a divorcee. Although Maiko is less than thrilled, she discovers when they meet that he is a charming man with an air of maturity and she instinctively makes a move on him. Harumi had intended to meet Maiko once before he turned her down since she is the daughter of the CEO of an important client. However, she turns out to be more than he had imagined. Maiko confounds him the whole time but he is attracted to her straightforward, pure, and dignified nature. He accepts the completed marriage registration form from her on their third date after she presses him for a kiss. They get married despite their 20-year age gap, and their life as newlyweds begins.
",Matsui Kana,"Aoi Wakana, Role: Murakami Maiko
Takezai Terunosuke, Role: Hanasato Harumi
Matsumoto Wakana, Role: Miyuki
Onodera Akira, Role: Rion
Yoshino Hokuto, Role: Ichinose Sean 
Kawai Aoba, Role: Takeda Yukari",Romance,7.4,1513,https://mydramalist.com/79785-toshi-no-sa-kon
My Love Patzzi (2002),2002,South Korea,"Song Yi is a girl with a pure heart but a bad temper. She was tricked and humiliated by her ""best friend"" Hee Won as a child. From then on, Hee Won has always been the princess and successful while everyone mistook Song Yi for the evil child. When Song Yi did not have a job, Hee Won introduced her to the amusement park that she was in charge of. There she found her childhood friend and ex-crush Hyun Sung, who Hee Won had ""stolen"" when they were kids. 

From then on, Hee Won tried to humiliate Song Yi many times, framing her in many situations that Hee Won has created herself. To get back at Hee Won, she decided to break the train that the park was launching so that Hee Won would be blamed. Little did she know that she had caused more damage and that the train had caught on fire. What was worse was that the son of the president of the park was on the train.

Ridden with guilt, Song Yi risks her own life to save the life of Seung Joon. Seung Joon fell in love with Song Yi for her brave spirit and charming attitude, but what will happen to their relationship when Hee Won exposes to the world what she has done? ",Lee Jin Suk,"Jang Na Ra, Role: Yang Song Yi
Kim Rae Won, Role: Kim Hyun Sung
Kim Jae Won, Role: Kang Seung Joon
Hong Eun Hee, Role: Eun Hee Won
Kim Gyung Shik, Role: Yang Sam Yeol
Kang Rae Yeon, Role: Hwang Bo Yu Ri","Romance
 Drama",6.9,1204,https://mydramalist.com/1020-my-love-patzzi
Wakamono Tachi (2014),2014,Japan,"Five siblings live together. They have arguments everyday and sometimes even fight with each other. Each of the siblings have their own problems like studying, finding a job, marriage, etc. There are also people connected with the siblings who either yearn for them or are their romantic interests. ",Muto Shogo,"Tsumabuki Satoshi, Role: Sato Asahi
Nagayama Eita, Role: Sato Satoru
Mitsushima Hikari, Role: Sato Hikari
Emoto Tasuku, Role: Sato Haru
Nomura Shuhei, Role: Sato Tadashi
Aoi Yu, Role: Sawabe Azusa","Romance
 Life
 Family",8.1,834,https://mydramalist.com/9491-wakamono-tachi
Pearl Next Door (2020),2020,Philippines,"This is the story of Pearl from the series ""Gameboys.""

As her friends seem to have found their one true love and are spending their time happily with their lovers, Pearl thinks that her time has come. But who will be the right person? ",Jun Lana,"Adrianna So, Role: Pearl Gatdula
Iana Bernardez, Role: Karleen Gregorio
Rachel Coates, Role: Alex Aguirre
Phillip Hernandez, Role: Fonzy Hermoso
Ron Macapagal, Role: Gino
J-mee Katanyag, Role: Jill Cruz","Romance
 Drama",7.4,1196,https://mydramalist.com/62645-pearl-next-door
Key Love (2019),2019,Thailand,2 boys realizing they have fallen for each other. ,Romance,"Mon Hatsawatchon Wongsrisai, Role: Neung
Nick Akkarasak Prommin, Role: Keng
Oak Puwanart Runapnain, Role: Tui","Romance
 Youth
 Drama",6.2,823,https://mydramalist.com/38717-key-love-the-series
He's Into Her (2021),2021,Philippines,"Maxpein del Valle is a spunky teenage girl from Mindoro raised by her grandmother and her uncle after her mother died in Japan when she was just 11. Max gets the surprise of her life when her wealthy father, whom she just recently discovered, offers to help pay for her grandmother’s hospitalization.

Out of gratitude, Max agrees to her father’s request to live with him and his family in Manila. Already feeling like a fish out of water at home, Max is also treated as an unwelcome outsider in her new university, Benison International School, when she stands up to Deib Lohr Enrile, the basketball varsity captain. To get back at the new student, Deib gets their entire batch to prank and bully Max.

But the more they engage in their game of cat-and-dog one-upmanship, the more Deib realizes that his goal to crush Max’s spirit has transformed into an undeniable crush on the one girl he never thought he would even like. However, the return of the ghosts from their past and their various family problems threaten to rip apart Max and Deib’s blossoming and fragile romance.

",Vanessa R. Valdez,"Belle Mariano, Role: Maxpein Zin Del Valle / ""Taguro""
Donny Pangilinan, Role: Deib Lohr Enrile / ""Sensui""
Kaori Oinuma, Role: Michiko Sil Taranza
Rhys Miguel, Role: Yakiro Tobi Yanai
Joao Constancia, Role: Lee Roi Gozon
Criza Taa, Role: Zarnaih Marchessa","Comedy
 Romance
 Youth",8.0,1099,https://mydramalist.com/65475-he-s-into-her
Under the Microscope (2023),2023,China,"When Shuai Jia Mo, who is obsessed with mathematics, stumbles upon a historical problem in Jinhua County, he's met with multiple obstacles in his attempts to correct the mistake, triggering a tension between various stakeholders.

",Thriller,"Zhang Ruo Yun, Role: Shuai Jia Mo
Wang Yang, Role: Cheng Ren Qing
Qi Wei, Role: Feng Bi Yu
Wu Gang, Role: Fan Yuan
Gao Ya Lin, Role: Huang Ning Dao
Fei Qi Ming, Role: Feng Bao Yu","Thriller
 Historical
 Mystery
 Drama",8.2,753,https://mydramalist.com/700333-xian-wei-jing-xia-de-da-ming
Otto no Chinpo ga Hairanai (2019),2019,Japan,"Kumiko enters university and begins dating Kenichi who has moved into the same apartment. On the first night that they try to sleep together, Kenichi cannot perform at all. Even after that, the two of them are unable to make love. However, their desire to be together because they love each other is stronger and they decide to get married. Kumiko feels a strong sense of inferiority that she cannot do something normal like this while an anguished Kenichi thinks he is “defective” and cannot make her happy. The couple gradually drifts apart.
",Kurosawa Hisako,"Ishibashi Natsumi, Role: Watanabe Kumiko / Yamamoto Kumiko
Nakamura Aoi, Role: Watanabe Kenichi
Tsutsui Mariko, Role: Yamamoto Saeko [Kumiko's mother]
Harumi Shihou, Role: Yamamoto Yusuke [Kumiko's father]
Kunihiro Tomiyuki, Role: Watanabe Kazuyuki [Kenichi's father]
Chiba Masako, Role: Watanabe Kyoko [Kenichi's mother]","Romance
 Life
 Drama",6.8,1350,https://mydramalist.com/33393-otto-no-chinpo-ga-hairanai
Can I Step In? (2020),2020,South Korea,"Five males reside in one house, living to their hearts content until a female joins them and they have to learn to adapt to each other. Five different kinds of relationships bloom from then onward.

",Housemates' Relationship,"Hwang Bo Reum Byeol, Role: Alex Soo Kyung
Kim Hyo Jin, Role: Ahn Seung Hyun
J-US, Role: Sang Hae
E-Tion, Role: Kim Tae Jun
Wyatt, Role: Ji Baek Ho
MK, Role: In Guk","Mystery
 Comedy
 Romance
 Drama",7.6,1034,https://mydramalist.com/683763-can-i-step-in
New Journey to the West Season 6 (2018),2018,South Korea,"Season 6 follows immediately after the 5th season of the show.  It takes place in Hokkaido, Japan, where the theme changes from Horror Special to Fruits Special. ",Na Young Seok,"Song Min Ho, Role: Regular Member
Kang Ho Dong, Role: Regular Member
Ahn Jae Hyun, Role: Regular Member
Eun Ji Won, Role: Regular Member
P.O, Role: Regular Member
Lee Soo Geun, Role: Regular Member","Adventure
 Comedy",8.9,1383,https://mydramalist.com/31705-new-journey-to-the-west-season-6
The King of Blaze (2018),2018,China,"It is a story revolving around the Fire God, the Wind Goddess and the ensuing romance between them as they risk their lives for the sake of their homeland.

Thousands of years ago, there was a beautiful planet amongst the stars where the deities lived. Among them, there were six powerful gods, including the God of Fire, the Goddess of Wind and the God of Mountain. They maintained the peace in the realms. During a dangerous battle with dark forces, the deities suffer a huge blow. Wind is nowhere to be found after rescuing Fire. 

In order to find an alternate energy source to save their home, Fire travels to the glorious age of the Tang Dynasty, where he meets a person who looks exactly like his long-lost love, the Goddess of Wind and ignites a complicated romance between the two.

~~ Adapted from the manhua ""The King of Blaze"" (火王) by You Su Lan (游素蘭). ",Rao Jun,"Chen Bo Lin, Role: Zhong Tian [God of Fire]
Jing Tian, Role: Qian Mei [Goddess of Wind] / Feng Jian
Zhang Yi Jie, Role: Hao Yue [God of Thunder]
Lai Yu Meng, Role: Hua Cheng [Goddess of Water] / Princess Li Ying
Du Jun Ze, Role: You He [God of Lakes]
Sun Shao Long, Role: Di Yun [God of Mountains]","Historical
 Romance
 Fantasy",7.5,601,https://mydramalist.com/23927-the-king-of-blaze
Ima kara Anata wo Kyouhaku Shimasu (2017),2017,Japan,"Handsome Senkawa Kanji is a dangerous intimidator who will solve cases which the police and investigators are unable to by finding people’s weaknesses and manipulating them with threatening words. Kanesaka Mio, a good, nice girl who grew up in a wealthy family, attends the department of education at a university. She works part-time and lives modestly but can move money when needed. She not only refuses to overlook the slightest bad thing but will also not leave anyone who is in difficulty alone. This results in her always butting into the predicaments of complete strangers and getting involved in cases. Senkawa and Mio are completely incompatible and should not meet but they get caught in all sorts of cases from bank transfer scams to kidnappings. 

~~ Adapted from the light novel ""Ima kara Anata wo Kyouhaku Shimasu"" by Namiya Fujiishi. ",Seki Erika,"Dean Fujioka, Role: Senkawa Kanji
Takei Emi, Role: Kanesaka Mio
Miyake Hiroki, Role: Meguro
Shimazaki Haruka, Role: Tochiotome
Kondo Masaomi, Role: Todoroki Yunosuke
Ebisu Yoshikazu, Role: Robin ","Mystery
 Psychological
 Comedy
 Crime",7.6,674,https://mydramalist.com/24785-ima-kara-anata-wo-kyouhaku-shimasu
Unkind Women (2015),2015,South Korea,"The drama is about four women spanning three generations in one household, who share the same hot-blooded temperament.

Thirty years ago, when her husband passed away in an accident, Kang Sunok raised her teenage daughters alone. She became famous for her cooking classes with the help of a talented young disciple named Park Eunsil. The oldest daughter, Hyeonjeong, eventually became a well-known news presenter. She has worked hard and never married, but as the story starts, changes are about to come as her boss favours younger women. Sunoks second daughter, Hyunsuk, cared more about pop music than about schoolwork, and stirred up intense dislike within her teacher. She got expelled from school due to a series of events, got married and had a daughter, Jeong Mari, at a young age. She made her child’s success her life’s priority and Mari studied hard to get her PhD in Korean literature before the age of 30.

As the drama starts, Hyunsuk is desperate to make more money to help her family, but things don’t go well. She happens to befriend a wealthy woman, Jang Moran, who becomes deeply involved with the family. Moran is elegant and rich, but she has kept a secret for 30 years – but can, or should, secrets be kept forever? 

Jang Moran isn’t the only woman to enter the struggling family’s life. Na Hyeonae, winner of the Teacher of the Year award and a doting mother, and none other than the person who ruined Hyunsuk’s life, shows up. Hyunsuk makes a promise to herself to force an apology out of this woman – a mission that turns out not to be so easy. 

In the meantime, Hyunsuk’s estranged husband does his best to quietly help, while three men with the same family name, Lee, also become important parts of the women’s lives. ",Han Sang Woo,"Kim Hye Ja, Role: Kang Soon Ok
Chae Shi Ra, Role: Kim Hyun Sook
Do Ji Won, Role: Kim Hyun Jung
Lee  Ha Na , Role: Jung Ma Ri
Lee Soon Jae, Role: Kim Chul Hee
Jang Mi Hee , Role: Jang Mo Ran","Comedy
 Romance
 Drama",7.5,764,https://mydramalist.com/12130-unkind-women
Ju-on: Noroi no Ie (2020),2020,Japan,"Based on actual events, this Netflix Original drama is the latest installment in the classic Japanese horror franchise Ju-on. This time, a paranormal investigator’s data reveals an eerie connection between a string of horrifying incidents that occurred between 1958 and 1997: they all stemmed from the same house. Set over the course of 40 years, the series explores the nature of these incidents, building on the established premise of the Ju-on movies and cranking up the terror to new heights. Drawing from actual recorded cases in Japan’s recent past, it offers fresh scares unlike anything J-horror fans have witnessed before. 
Honjo Haruka is a rookie actress. She hears the sounds of footsteps at night in her house. When she learns of psychic researcher Odajima Yasuo from a TV variety program, she seeks counseling from him about her problem.

",Takahashi Hiroshi,"Arakawa Yoshiyoshi, Role: Odajima Yasuo
Kuroshima Yuina, Role: Honjo Haruka
Ririka, Role: Kawai Kiyomi / Kumi
Kurashina Kana , Role: Kimie Ariyasu
Osamura Koki, Role: Katsuragi Yudai
Inowaki Kai, Role: Fukazawa Tetsuya","Thriller
 Mystery
 Horror
 Supernatural",7.0,1374,https://mydramalist.com/53595-ju-on
Romance Special Law (2017),2017,South Korea,"Judge Jung is the youngest to be a judge and is considered the idol of the judges. He is a gentle and kind man whose hobby is volunteering and specialty is cleaning. Although he looks perfect on the outside, he has never dated a woman before. One day he bumps into a woman on his way to work. The woman he bumps into is Ji Hye, the owner of a workshop. To make things worse, Ji Hye’s hair gets stuck on Eui Chan’s shirt and her makeup leaves a stain on his shirt. Ji Hye hurries away, but Eui Chan falls in love with her at first sight.

",Comedy,"Park Cho Rong, Role: Seo Ji Hye
Kim Min Gue, Role: Jung Eui Chan
Hyuk, Role: Kang Se Woong
Ryu Jin, Role: Support Role
Myung Seok Geun, Role: Kim Ho Min
Lee Seo Yi, Role: [Female Judge]","Comedy
 Law
 Romance",7.1,931,https://mydramalist.com/25353-romance-special-law
Got a Crush on You (2023),2023,China,"Song Xing Chen is a 29-year-old doctor with a difference: While all of her co-workers are focused on performing well and making money for the hospital, she cares more about her appearance and fashion. Some think she used her good looks to win herself a top position at the hospital. But she drops a bombshell on her colleagues at her promotion dinner – by announcing she wants to quit!

Now, instead of following the path her family set out for her, she has decided to go her own way. As she begins her “new” life, she witnesses a fearless man rescue a helpless dog from a window ledge. This man turns out to be a lifetime singleton and single-minded rescue team leader named Su Qing Che. Later, their paths cross again – as they meet (and bicker) on a blind date. Is this to be the beginning of a fresh rivalry... or a budding romance?

",Comedy,"Xu Kai Cheng, Role: Su Qing Che
Gulnezer Bextiyar, Role: Song Xing Chen
Zhang He, Role: Lu Qun
Zhao Yao Ke, Role: Han Xiao Li
Fu Xin Bo, Role: Tang Rui Ze
Xia Zhi Guang, Role: Qian Cheng","Comedy
 Romance
 Drama",7.5,965,https://mydramalist.com/727939-fu-sheng-zhi-xing-chen
Liver or Die (2019),2019,South Korea,"Poong Sang has dedicated his life to caring for and financially supporting his four younger siblings, as their parents were absent. His siblings include Jin Sang, Jung Sang, Hwa Sang, and We Sang. Despite being middle-aged, Poong Sang continues to put his siblings' needs first. Jin Sang seeks a chance to change his life, Jung Sang is a logical doctor, Hwa Sang struggles with an inferiority complex, and We Sang aspires to be a baseball player but faces setbacks in pursuing his dream.

",Moon Young Nam,"Yoo  Joon Sang, Role: Lee Poong Sang
Oh Ji Ho, Role: Lee Jin Sang
Jeon Hye Bin, Role: Lee Jung Sang
Lee Si Young, Role:  Lee Hwa Sang
Cha Seo Won, Role: Lee We Sang
Shin Dong Mi, Role: Gan Boon Shil [Poong Sang's wife]","Comedy
 Romance
 Drama",7.6,772,https://mydramalist.com/31600-what-s-the-problem-poong-sang
Death Note NEW GENERATION (2016),2016,Japan,"Three stories about the investigator Mishima, called the Death Note geek, who encounters a case where a former criminal died of stroke and he closes in on the truth; L’s successor, the famous international sleuth Ryuzaki who has solved numerous difficult cases, decides to assist in a Death Note case that he has continuously refused despite repeated requests; and cyber terrorist Shien, who became a follower of “Kira” after he was set free from the trauma of being the only one who survived the brutal murder of his family, attempts to use the Death Note for the first time. ",Sato Shinsuke,"Higashide Masahiro, Role: {Shinsei} Mishima Tsukuru
Ikematsu Sosuke, Role: Ryuzaki {Ishi}
Suda Masaki, Role: Shien Yuki {Kyoushin}
Kawaei Rina, Role: Aoi Sakura {Ishi}
Nakamura Shido II, Role: Ryuk [Voice]
Fujii Mina, Role: Nanase Sho","Action
 Mystery
 Psychological
 Supernatural",7.5,872,https://mydramalist.com/19862-death-note-new-generation
The Penthouse: Hidden Room - Hidden Story (2021),2021,South Korea,"The cast members of 'The Penthouse' wrap up the first season of the riveting drama while Shin Dong Yeop and Jang Do Yeon moderate with questions and popular theories from viewers. Each of the actors discusses the characters they portrayed and how the director approached the program's suspenseful content while watching behind-the-scenes footage of the drama’s shoots. Clues and previews for the upcoming second season are also presented.

",Documentary,"Shin Dong Yup, Role: [Host]
Jang Do Yeon, Role: [Host]
Lee Ji Ah, Role: Shim Soo Ryun
Kim So Yeon, Role: Cheon Seo Jin
Yoon Jong Hoon, Role: Ha Yoon Chul
Eugene, Role: Oh Yoon Hee",Documentary,8.4,900,https://mydramalist.com/685967-the-penthouse-s-hidden-room-the-hidden-stories
Sungkyunkwan Scandal: Special (2011),2011,South Korea,"The two-hour movie is a re-creation of the 20 episodes of the drama. It also features recent interviews with the four main leads (Park Yoo Chun, Park Min Young, Yoo Ah In and Song Joong Ki) and behind-the-scenes footage that have never been revealed before. ",Kim Won Suk,"Park Yoo Chun, Role: Lee Sun Joon
Park Min Young, Role: Kim Yoon Hee
Song Joong Ki, Role: Gu Yong Ha
Seo Hyo Rim, Role: Ha Hyo Eun
Yoo Ah In, Role: Moon Jae Shin
Kim Min Seo, Role: Cho Sun","Thriller
 Historical
 Romance",8.0,712,https://mydramalist.com/3977-sungkyunkwan-scandal-special
Homeroom (2020),2020,Japan,"Rintaro Aida is a handsome teacher. One of his students, Sachiko Sakurai endures unpleasant situations every day. The identity of the person who causes the unpleasantness is not known. Rintaro Aida always saves her from those situations. Because of this, Sachiko Sakurai begins to have feelings for her homeroom teacher. What Sachiko Sakurai does not know is that Rintaro Aida likes her very much and he is behind the unpleasant situations and he does this to save her.

",Tsugita Jun,"Yamada Yuki, Role: Aida Rintaro
Akita Shiori, Role: Sakurai Sachiko
Tomita Miu, Role: Maruyama Nobuyo
Yokota Mayuu, Role: Natsume Yua
Ohata Shieri, Role: Shiratori Nana
Yamashita Rio, Role: Shiina Megumi","Mystery
 Psychological
 Romance
 Supernatural",6.7,741,https://mydramalist.com/52615-homeroom
The Underwear (2017),2017,Thailand,A story about the lives and relationships of young adults and teenagers and how they all connect trough The Underwear Forum. ,Nattakit Klinpratoom,"Mew Chisanusha Tantimedh, Role: Mon
Jida Jidapa Siribanchawan, Role: Tuayfoo
Peem Jaiyen Thanabordee, Role: Jump
Gena Desouza, Role: Jeans
Emika Grant Emma, Role: Jay
Got Kanidsorn Laiwrakoran, Role: Due","Comedy
 Romance
 Youth
 Drama",6.6,742,https://mydramalist.com/22416-the-underwear
Which Star Are You From? (2006),2006,South Korea,"Seung Hee, after losing his girlfriend in a tragic accident, left for 3 years. When he came back, he sought to make a film in a rural area. Someone caught his eye - Bok Shil, who looks exactly like his deceased girlfriend, Hye Soo. Seung Hee followed Bok Shil in order to get some answers and ended up falling for her. 
Still the questions remain, is he attracted to Bok Shil because of the memories of his ex-girlfriend, or does he like Bok Shil for who she is? What happens when competitors come into the picture and families opposing their love? ",Jung Yoo Kyung,"Kim Rae Won, Role: Choi Seung Hee
Jung Ryeo Won, Role: Kim Bok Shil / Lee Hae Rim | Lee Hye Su
Park Shi Hoo, Role: Han Jung Hoon
Kim Ha Kyun, Role: Jo Doo Shik
Song Jae Ho, Role: Lee Young No
Lee Bo Hee, Role: Ahn Jin Hee [Hye Soo's mom]","Comedy
 Romance
 Life
 Drama",7.4,1408,https://mydramalist.com/1017-which-star-are-you-from
GTO: Remake Season 2 (2014),2014,Japan,"Onizuka is sent as a temporary teacher to the high school he graduated from in Shonan, Japan. At the high school, he faces difficult problems including a high school student’s pregnancy and a student refusing to attend school. Onizuka's past is also revealed through people who knew him from his past. ",Iizuka Ken,"Akira, Role: Onizuka Eikichi
Higa Manami, Role: Fujikawa Honami
Shirota Yu, Role: Danma Ryuji
Yamamoto Yusuke, Role: Saejima Toshiyuki
Kuroki Hitomi, Role: Sakurai Yoshiko [Principal]
Tayama Ryosei, Role: Uchiyamada Hiroshi [Vice Principal]","Comedy
 Youth
 Drama",7.9,1164,https://mydramalist.com/10623-gto-remake-season-2
